listing_type	brand	title	category_code	href	image	gst	price	mrp	qty	basecolor	color	size	weight	dimensions	origin	material	image1	image2	image3	image4	image5	description
MAIN	Apollo	Men's Regular Fit T-Shirt	camxts	Apollo-men-regular-fit-cotton-tshirt	323299/eee?text=FusionX&font=roboto,image_alt	5																
SUB							600	750	15	Blue	Navy Blue	S	470 Grams	34 x 26 x 8 cms	India	Cotton	323299/eee?text=1&font=roboto, image 1	323299/eee?text=2&font=roboto, image 2	323299/eee?text=3&font=roboto, image 3	323299/eee?text=4&font=roboto, image 4	323299/eee?text=5&font=roboto, image 5	<p>ipsom Lorem ipsum dolor sit amet consectetur adipisicing elit. Quidem rerum expedita quisquam suscipit praesentium magnam nam pariatur tenetur vitae odit, eligendi nesciunt similique voluptatem explicabo a! Quos eos totam dolore.</p><p>ipsom Lorem ipsum dolor sit amet consectetur, adipisicing elit. Eos dolorum distinctio non optio esse qui dolore voluptates, perspiciatis, soluta rem quos minima illo, atque consequuntur repellendus corporis! Amet, voluptas facilis.</p><p>ipsom Lorem ipsum dolor sit amet consectetur, adipisicing elit. Eos dolorum distinctio non optio esse qui dolore voluptates, perspiciatis, soluta rem quos minima illo, atque consequuntur repellendus corporis! Amet, voluptas facilis.</p>
SUB							625	750	15	Blue	Navy Blue	M	470 Grams	34 x 26 x 8 cms	India	Cotton	323299/eee?text=1&font=roboto, image 1	323299/eee?text=2&font=roboto, image 2	323299/eee?text=3&font=roboto, image 3	323299/eee?text=4&font=roboto, image 4	323299/eee?text=5&font=roboto, image 5	<p>ipsom Lorem ipsum dolor sit amet consectetur adipisicing elit. Quidem rerum expedita quisquam suscipit praesentium magnam nam pariatur tenetur vitae odit, eligendi nesciunt similique voluptatem explicabo a! Quos eos totam dolore.</p><p>ipsom Lorem ipsum dolor sit amet consectetur, adipisicing elit. Eos dolorum distinctio non optio esse qui dolore voluptates, perspiciatis, soluta rem quos minima illo, atque consequuntur repellendus corporis! Amet, voluptas facilis.</p><p>ipsom Lorem ipsum dolor sit amet consectetur, adipisicing elit. Eos dolorum distinctio non optio esse qui dolore voluptates, perspiciatis, soluta rem quos minima illo, atque consequuntur repellendus corporis! Amet, voluptas facilis.</p>
SUB							635	750	15	Blue	Navy Blue	L	470 Grams	34 x 26 x 8 cms	India	Cotton	323299/eee?text=1&font=roboto, image 1	323299/eee?text=2&font=roboto, image 2	323299/eee?text=3&font=roboto, image 3	323299/eee?text=4&font=roboto, image 4	323299/eee?text=5&font=roboto, image 5	<p>ipsom Lorem ipsum dolor sit amet consectetur adipisicing elit. Quidem rerum expedita quisquam suscipit praesentium magnam nam pariatur tenetur vitae odit, eligendi nesciunt similique voluptatem explicabo a! Quos eos totam dolore.</p><p>ipsom Lorem ipsum dolor sit amet consectetur, adipisicing elit. Eos dolorum distinctio non optio esse qui dolore voluptates, perspiciatis, soluta rem quos minima illo, atque consequuntur repellendus corporis! Amet, voluptas facilis.</p><p>ipsom Lorem ipsum dolor sit amet consectetur, adipisicing elit. Eos dolorum distinctio non optio esse qui dolore voluptates, perspiciatis, soluta rem quos minima illo, atque consequuntur repellendus corporis! Amet, voluptas facilis.</p>
SUB							640	750	15	Blue	Navy Blue	XL	470 Grams	34 x 26 x 8 cms	India	Cotton	323299/eee?text=1&font=roboto, image 1	323299/eee?text=2&font=roboto, image 2	323299/eee?text=3&font=roboto, image 3	323299/eee?text=4&font=roboto, image 4	323299/eee?text=5&font=roboto, image 5	<p>ipsom Lorem ipsum dolor sit amet consectetur adipisicing elit. Quidem rerum expedita quisquam suscipit praesentium magnam nam pariatur tenetur vitae odit, eligendi nesciunt similique voluptatem explicabo a! Quos eos totam dolore.</p><p>ipsom Lorem ipsum dolor sit amet consectetur, adipisicing elit. Eos dolorum distinctio non optio esse qui dolore voluptates, perspiciatis, soluta rem quos minima illo, atque consequuntur repellendus corporis! Amet, voluptas facilis.</p><p>ipsom Lorem ipsum dolor sit amet consectetur, adipisicing elit. Eos dolorum distinctio non optio esse qui dolore voluptates, perspiciatis, soluta rem quos minima illo, atque consequuntur repellendus corporis! Amet, voluptas facilis.</p>
SUB							650	750	15	Blue	Navy Blue	XXL	470 Grams	34 x 26 x 8 cms	India	Cotton	323299/eee?text=1&font=roboto, image 1	323299/eee?text=2&font=roboto, image 2	323299/eee?text=3&font=roboto, image 3	323299/eee?text=4&font=roboto, image 4	323299/eee?text=5&font=roboto, image 5	<p>ipsom Lorem ipsum dolor sit amet consectetur adipisicing elit. Quidem rerum expedita quisquam suscipit praesentium magnam nam pariatur tenetur vitae odit, eligendi nesciunt similique voluptatem explicabo a! Quos eos totam dolore.</p><p>ipsom Lorem ipsum dolor sit amet consectetur, adipisicing elit. Eos dolorum distinctio non optio esse qui dolore voluptates, perspiciatis, soluta rem quos minima illo, atque consequuntur repellendus corporis! Amet, voluptas facilis.</p><p>ipsom Lorem ipsum dolor sit amet consectetur, adipisicing elit. Eos dolorum distinctio non optio esse qui dolore voluptates, perspiciatis, soluta rem quos minima illo, atque consequuntur repellendus corporis! Amet, voluptas facilis.</p>
SUB							600	750	15	White	Grey	S	470 Grams	34 x 26 x 8 cms	India	Cotton	6b6b6b/fff?text=1&font=roboto, image 1	6b6b6b/fff?text=2&font=roboto, image 2	6b6b6b/fff?text=3&font=roboto, image 3	6b6b6b/fff?text=4&font=roboto, image 4	6b6b6b/fff?text=5&font=roboto, image 5	<p>ipsom Lorem ipsum dolor sit amet consectetur adipisicing elit. Quidem rerum expedita quisquam suscipit praesentium magnam nam pariatur tenetur vitae odit, eligendi nesciunt similique voluptatem explicabo a! Quos eos totam dolore.</p><p>ipsom Lorem ipsum dolor sit amet consectetur, adipisicing elit. Eos dolorum distinctio non optio esse qui dolore voluptates, perspiciatis, soluta rem quos minima illo, atque consequuntur repellendus corporis! Amet, voluptas facilis.</p><p>ipsom Lorem ipsum dolor sit amet consectetur, adipisicing elit. Eos dolorum distinctio non optio esse qui dolore voluptates, perspiciatis, soluta rem quos minima illo, atque consequuntur repellendus corporis! Amet, voluptas facilis.</p>
SUB							625	750	15	White	Grey	M	470 Grams	34 x 26 x 8 cms	India	Cotton	6b6b6b/fff?text=1&font=roboto, image 1	6b6b6b/fff?text=2&font=roboto, image 2	6b6b6b/fff?text=3&font=roboto, image 3	6b6b6b/fff?text=4&font=roboto, image 4	6b6b6b/fff?text=5&font=roboto, image 5	<p>ipsom Lorem ipsum dolor sit amet consectetur adipisicing elit. Quidem rerum expedita quisquam suscipit praesentium magnam nam pariatur tenetur vitae odit, eligendi nesciunt similique voluptatem explicabo a! Quos eos totam dolore.</p><p>ipsom Lorem ipsum dolor sit amet consectetur, adipisicing elit. Eos dolorum distinctio non optio esse qui dolore voluptates, perspiciatis, soluta rem quos minima illo, atque consequuntur repellendus corporis! Amet, voluptas facilis.</p><p>ipsom Lorem ipsum dolor sit amet consectetur, adipisicing elit. Eos dolorum distinctio non optio esse qui dolore voluptates, perspiciatis, soluta rem quos minima illo, atque consequuntur repellendus corporis! Amet, voluptas facilis.</p>
SUB							635	750	15	White	Grey	L	470 Grams	34 x 26 x 8 cms	India	Cotton	6b6b6b/fff?text=1&font=roboto, image 1	6b6b6b/fff?text=2&font=roboto, image 2	6b6b6b/fff?text=3&font=roboto, image 3	6b6b6b/fff?text=4&font=roboto, image 4	6b6b6b/fff?text=5&font=roboto, image 5	<p>ipsom Lorem ipsum dolor sit amet consectetur adipisicing elit. Quidem rerum expedita quisquam suscipit praesentium magnam nam pariatur tenetur vitae odit, eligendi nesciunt similique voluptatem explicabo a! Quos eos totam dolore.</p><p>ipsom Lorem ipsum dolor sit amet consectetur, adipisicing elit. Eos dolorum distinctio non optio esse qui dolore voluptates, perspiciatis, soluta rem quos minima illo, atque consequuntur repellendus corporis! Amet, voluptas facilis.</p><p>ipsom Lorem ipsum dolor sit amet consectetur, adipisicing elit. Eos dolorum distinctio non optio esse qui dolore voluptates, perspiciatis, soluta rem quos minima illo, atque consequuntur repellendus corporis! Amet, voluptas facilis.</p>
SUB							640	750	15	White	Grey	XL	470 Grams	34 x 26 x 8 cms	India	Cotton	6b6b6b/fff?text=1&font=roboto, image 1	6b6b6b/fff?text=2&font=roboto, image 2	6b6b6b/fff?text=3&font=roboto, image 3	6b6b6b/fff?text=4&font=roboto, image 4	6b6b6b/fff?text=5&font=roboto, image 5	<p>ipsom Lorem ipsum dolor sit amet consectetur adipisicing elit. Quidem rerum expedita quisquam suscipit praesentium magnam nam pariatur tenetur vitae odit, eligendi nesciunt similique voluptatem explicabo a! Quos eos totam dolore.</p><p>ipsom Lorem ipsum dolor sit amet consectetur, adipisicing elit. Eos dolorum distinctio non optio esse qui dolore voluptates, perspiciatis, soluta rem quos minima illo, atque consequuntur repellendus corporis! Amet, voluptas facilis.</p><p>ipsom Lorem ipsum dolor sit amet consectetur, adipisicing elit. Eos dolorum distinctio non optio esse qui dolore voluptates, perspiciatis, soluta rem quos minima illo, atque consequuntur repellendus corporis! Amet, voluptas facilis.</p>
